,m1,m2,m3,width_plus_height
book94,0.029053420805998126,65.37113402061856,1.5100000005929815e-07,6250
book80,0.04029990627928772,54.98969072164948,-0.00014039800000009706,6250
book57,0.05154639175257732,59.569821930646675,-0.0011075950000001278,6250
book43,0.09653233364573571,50.01405810684161,0.009397217999999707,6250
book108,0.020618556701030927,55.708528584817245,-3.992300000010829e-05,6250
book109,0.11715089034676664,47.55388940955951,0.005839084999999855,6250
book42,0.08903467666354264,49.019681349578256,2.4869999999843628e-05,6250
book56,0.07966260543580131,54.134020618556704,0.0001095320000006339,6250
book81,0.02717900656044986,55.20431115276476,-7.823000000684033e-06,6250
book95,0.10028116213683223,50.92596063730085,0.00065883800000055,6250
book83,0.01780693533270853,70.85567010309278,4.9369000000076824e-05,6250
book97,0.1274601686972821,52.268978444236176,-9.6130000004635e-06,6250
book40,0.031865042174320526,56.94751640112465,-2.6140999999313408e-05,6250
book54,0.11715089034676664,47.71134020618557,-6.0354000000373276e-05,6250
book68,0.09278350515463918,50.02249297094658,-3.402599999979827e-05,6250
book69,0.04967197750702906,52.023430178069354,0.00011288099999973156,6250
book55,0.02717900656044986,59.85754451733833,-4.122799999883853e-05,6250
book41,0.08622305529522024,52.90440487347704,5.935899999975902e-05,6250
book96,0.13214620431115276,48.3842549203374,6.899800000148559e-05,6250
book82,0.08434864104967198,52.440487347703844,-1.7356999999051936e-05,6250
book86,0.02530459231490159,54.68884723523899,5.2305000000529844e-05,6250
book92,0.04592314901593252,51.85285848172446,-5.41490000003364e-05,6250
book79,0.053420805998125584,52.36082474226804,-0.00010331300000032684,6250
book45,0.05248359887535145,52.28865979381443,0.00013966400000064993,6250
book51,0.01218369259606373,64.76663542642925,-9.564500000180942e-05,6250
book50,0.02530459231490159,61.74226804123711,-3.1580000001696362e-06,6250
book44,0.05248359887535145,56.6560449859419,5.3199999996422775e-06,6250
book78,0.08997188378631678,50.03467666354264,2.385700000218094e-05,6250
book93,0.1415182755388941,47.21087160262418,-0.0001550889999997196,6250
book87,0.023430178069353328,65.35707591377694,-3.7626000001012017e-05,6250
book91,0.12089971883786317,50.76101218369259,8.062999999935982e-05,6250
book85,0.05435801312089972,52.502343017806936,2.627000000288149e-05,6250
book52,0.059044048734770385,63.47235238987816,-1.808400000058441e-05,6250
book46,0.05154639175257732,52.111527647610124,1.975500000384045e-05,6250
book47,0.04029990627928772,52.95220243673852,9.69379999986586e-05,6250
book53,0.06091846298031865,54.04967197750703,-0.00014866199999730156,6250
book84,0.05248359887535145,54.34020618556701,-1.543399999803796e-05,6250
book90,0.15932521087160262,44.48641049671978,-0.0002606109999980788,6250
book34,0.031865042174320526,55.170571696344894,0.00011332200000069292,6250
book20,0.11433926897844424,50.029990627928775,3.60079999985885e-05,6250
book3,0.03936269915651359,53.29522024367385,9.473300000095719e-05,6250
book2,0.10871602624179943,47.54545454545455,0.0001600329999966732,6250
book21,0.06279287722586692,55.90721649484536,8.619100000117896e-05,6250
book35,0.06654170571696345,51.87253983130272,5.722300000243763e-05,6250
book23,0.15745079662605435,45.89222118088097,3.525400000015111e-05,6250
book37,0.09278350515463918,50.2642924086223,3.5831000001707025e-05,6250
book36,0.1274601686972821,46.781630740393624,2.9921999999515947e-05,6250
